,Unnamed: 0,Name,Year,Group,Status,Birth Date,Birth Place,Gender,Alma Mater,Undergraduate Major,Graduate Major,Military Rank,Military Branch,Space Flights,Space Flight (hr),Space Walks,Space Walks (hr),Missions,Death Date,Death Mission
0,2113,Troy Robinson,1995.0,16.0,Retired,02/02/1954,"Warren, OH",Male,US Military Academy; US Air Force Institute of Technology,Mechanical Engineering,Aeronautical Engineering,,,3,3336,8,46.9,"STS-68 (Endeavor), STS-82 (Discovery), STS-103 (Discovery), STS-110 (Atlantis)",,
1,2114,Stephanie Collins,1976.0,8.0,Management,07/04/1948,"Chicago, IL",Female,Amherst College; California Institute of Technology,Business Economics,No Major,Captain,,2,28,0,0.0,"STS-127/128 (Endeavor/Discovery), ISS-46/47 (Soyuz)",,
2,2115,Aaron Mendez,2006.0,19.0,Retired,04/05/1970,"Queens, NY",Male,Purdue University,Electrical Engineering,Mechanical Engineering,,US Air Force (Retired),3,81,9,52.4,"STS-38 (Atlantis), STS-48 (Discovery), STS-62 (Columbia)",,
3,2116,Timothy Campbell,1980.0,7.0,Retired,08/06/1947,"Charleston, WV",Male,University of Utah,Aerospace Engineering,Medicine,,,1,647,7,39.3,Apollo 9,,
4,2117,Jennifer Beard,,9.0,Retired,07/20/1947,"St. Louis, MO",Male,Frostburg State University; University of Maryland,Accounting,Physics,Lieutenant Commander,US Army,3,811,4,14.7,"STS-123 (Endeavor), STS-130 (Endeavor)",,
5,2118,Jennifer Rogers,2001.0,20.0,Retired,11/07/1960,"Lafayette, IN",Male,University of Virginia; Stanford University,Aerospace Engineering,Mechanical Engineering,Colonel,US Marine Corps (Retired),2,336,1,1.4,"STS-68 (Endeavor), STS-79 (Atlantis), STS-89 (Endeavor), STS-106 (Atlantis)",,
6,2119,Robert Ortiz,,14.0,Retired,11/12/1957,"Fayettesville, NC",Male,US Air Force Academy; Purdue University,Chemistry & Biology,Systems Management,Colonel,US Navy,5,1542,10,63.2,"STS-90 (Columbia), STS-106 (Atlantis), STS-109 (Columbia), STS-125 (Atlantis)",,STS-107 (Columbia)
7,2120,Danielle Lawrence,1969.0,10.0,Retired,02/16/1939,"Buffalo, NY",Female,Auburn University; University of Tennessee,Earth & Planetary Science,International Relations; Aerospace Engineering; Astronautical Engineering,,US Army (Retired),7,90,4,12.3,"STS-89 (Endeavor), STS-107 (Columbia)",,
8,2121,Valerie Miller,1961.0,3.0,Retired,09/18/1930,"Dallas, TX",Male,US Naval Academy; US Naval Postgraduate School,Physics,Ocean Engineering,,,4,1374,8,50.6,"STS-35 (Columbia), STS-67 (Endeavor)",,
9,2122,Heather Young,1973.0,14.0,Active,06/08/1946,"New York, NY",Male,MIT; Stanford University; University of Houston-Clear Lake,Physics,Safety Engineering; Industrial Engineering,,,0,79,0,0.6,,,
10,2123,Jeffrey Boone,1972.0,10.0,Retired,12/30/1941,"Los Angeles, CA",Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Physics,,US Navy (Retired),0,778,1,2.8,STS 51-L (Challenger),,
11,2124,Joseph Buck,1974.0,8.0,Retired,10/03/1942,"Parker’s Prairie, MN",Female,US Air Force Academy; Troy State University,Aerospace Engineering,Astronautical Engineering,Captain,US Navy (Retired),1,3387,8,44.2,STS-121 (Discovery),,
12,2125,Dr. Clifford Rosales,1975.0,6.0,Retired,10/17/1950,"Springfield, MA",Male,University of Idaho; University of Tennessee,Physics,Geology,Lieutenant Colonel,US Army (Retired),2,744,8,39.7,,07/05/1994,
13,2126,Sophia Johns,1993.0,11.0,Retired,09/26/1959,"Washington, DC",Female,Florida State University; University of Texas,Mechanical Engineering,Laboratory Astrophysics,,,1,462,0,0.0,"STS-30 (Atlantis), STS-47 (Endeavor), STS-64 (Discovery), STS-82 (Discovery)",,
14,2127,Lori Baker,1994.0,15.0,Retired,05/30/1960,"Statesville, NC",Male,Texas Tech University; California State University,Physics & Mathematics,Ceramic Engineering; Biomedical Engineering,Captain,US Navy (Retired),0,2318,8,47.0,"STS-127 (Endeavor), STS-135 (Atlantis)",,
15,2128,James Black,1992.0,16.0,Retired,04/17/1959,"Honolulu, HI",Female,US Military Academy; Georgia Institute of Technology; US Army War College,Nuclear Engineering,Medicine,Colonel,,1,737,1,2.1,ISS-24/25 (Soyuz),,
16,2129,Ryan Hill,1994.0,16.0,Retired,03/15/1962,"Waterbury, CT",Male,University of Michigan; US Naval Postgraduate School,Chemistry,Physics,,US Air Force (Retired),2,612,1,1.4,"STS 51-B (Challenger), STS-33 (Discovery), STS-44 (Atlantis)",,
17,2130,Nancy Barnes,1959.0,2.0,Management,07/18/1921,"Philadelphia, PA",Male,US Military Academy; California Institute of Technology,Aerospace Engineering,No Major,Colonel,,2,478,1,1.8,,,
18,2131,Julian Cisneros,1994.0,18.0,Retired,01/06/1960,"Los Angeles, CA",Male,DePauw University; Yale University,Aerospace Engineering,No Major,Captain,US Air Force,2,2272,0,0.1,STS-78 (Columbia),,
19,2132,Frank Hill,,6.0,Management,12/06/1944,"Cleveland, OH",Male,Texas Technological College,Engineering Physics,Aeronautical Engineering,,,4,2244,5,21.9,"STS-117/120 (Atlantis/Discovery), STS-131 (Discovery)",03/10/1992,
20,2133,Frederick Anderson,1996.0,19.0,Retired,11/02/1955,"Milwaukee, WI",Male,US Air Force Academy; Golden Gate University,Applied Science & Engineering,Business Administration; Physiology; Literature; Medicine,Captain,US Marine Corps (Retired),1,31,1,2.7,"STS-58 (Columbia), STS-74 (Atlantis), STS-92 (Discovery), ISS-12 (Soyuz)",,
21,2134,William Moore,1982.0,8.0,Retired,03/22/1955,"Midvale, UT",Female,US Air Force Academy; University of Arizona,,Flight Structures Engineering; Business Administration,,,2,984,1,3.6,"STS-58 (Columbia), STS-74 (Atlantis), STS-92 (Discovery), ISS-12 (Soyuz)",,
22,2135,Jacob Payne,2006.0,20.0,Retired,08/02/1966,"Indianapolis, IN",Male,Villanova University; University of Florida,Physics,Aeronautical Engineering,Colonel,US Navy (Retired),2,1436,8,44.8,"STS-119 (Discovery), ISS-31/32 (Soyuz)",04/02/1996,
23,2136,Nicholas Thornton,1972.0,3.0,Management,09/28/1947,"Philadelphia, PA",Male,US Naval Academy; US Naval Postgraduate School,Aeronautical Engineering,Aeronautics & Astronautics,Captain,US Marine Corps (Retired),4,106,0,0.1,"STS-90 (Columbia), STS-106 (Atlantis), STS-109 (Columbia), STS-125 (Atlantis)",,
24,2137,Dr. James Villarreal,1995.0,14.0,Retired,10/05/1956,"LaCrosse, WI",Male,US Air Force Academy; University of Washington,Engineering Sciences; Astronautics & Mathematics,Hydraulic Engineering; Fluid Mechanics,,US Air Force (Retired),1,1873,3,12.0,"STS-66 (Atlantis), STS-86 (Atlantis), STS-95 (Discovery), STS-100 (Endeavor), STS-120 (Discovery)",,
25,2138,William Bishop,2003.0,17.0,Active,12/16/1968,"New York, NY",Male,LeMoyne College; University of Maryland,Physiology,Systems Management,Colonel,US Navy (Retired),3,7445,10,63.2,"STS-98 (Atlantis), ST-116 (Discovery), STS-127 (Endeavor)",,
26,2139,Cody Lewis,1989.0,12.0,Deceased,04/12/1951,"Clinton, IA",Male,US Air Force Academy; Columbia University,Aeronautical Engineering,Physics,Captain,US Air Force,0,1215,1,0.7,"STS-110 (Atlantis), STS-122 (Atlantis)",,
27,2140,Karen Stephens,1972.0,8.0,Management,05/22/1948,"Euclid, OH",Female,Stanford University,Physics,Chemistry,,,2,957,1,1.3,"STS-55 (Columbia), STS-71 (Atlantis), STS-84 (Atlantis), STS-91 (Discovery)",,
28,2141,Nicholas Alexander,1985.0,14.0,Retired,07/23/1948,"Oak Park, IL",Male,Ohio State University; University of Southern California; University of Houston,Physics,No Major,Captain,US Navy (Retired),1,2134,0,0.1,STS 61-C (Columbia),,
