,Unnamed: 0,Name,Year,Group,Status,Birth Date,Birth Place,Gender,Alma Mater,Undergraduate Major,Graduate Major,Military Rank,Military Branch,Space Flights,Space Flight (hr),Space Walks,Space Walks (hr),Missions,Death Date,Death Mission
0,3803,Tommy White,2008.0,20.0,Deceased,12/28/1974,"Endicott, NY",Male,US Air Force Academy; Ohio State University; University of Colorado,Engineering,Aeronautical Engineering,,,5,247,5,19.3,"STS-38 (Atlantis), STS-50 (Columbia), STS-64 (Discovery)",,
1,3804,Andrew Perry,1967.0,5.0,Management,02/26/1939,"Columbus, OH",Male,US Naval Academy,,Chemistry; Biochemistry; Optometry,Colonel,,5,713,0,0.9,"ST 51-J (Atlantis), STS-26 (Discovery), STS-36 (Atlantis), STS-42 (Discovery)",,
2,3805,Cristina Perez,,8.0,Active,12/24/1942,"Warsaw, NY",Male,MIT; University of Washington,Engineering Mechanics,Physics,,,3,293,0,0.1,"STS-119 (Discovery), ISS-31/32 (Soyuz)",,
3,3806,Kevin Blake,1976.0,7.0,Deceased,07/21/1949,"Sluiskil, Netherlands",Male,University of Minnesota,,Aeronautical Engineering Systems,,US Air Force (Retired),3,793,4,20.3,"STS-9 (Columbia), STS-45 (Atlantis)",03/13/1999,
4,3807,Miranda Diaz,1985.0,11.0,Retired,06/24/1944,"Jackson, MI",Male,US Naval Academy; Florida Institute of Technology,,Industrial Engineering,Commander,US Navy (Retired),6,836,4,19.8,"STS-57 (Endeavor), STS-68 (Endeavor), STS-81 (Atlantis), STS-92 (Discovery)",01/24/1988,Apollo 1
5,3808,Larry Peters,1975.0,,Retired,03/18/1943,"North Hollywood, CA",Male,US Merchant Marine Academy; University of California-Los Angeles,Electrical Engineering,No Major,,,1,838,0,0.4,"STS 51-C (Discovery), STS 51-L (Challenger)",,
6,3809,Jaime Roberts,2006.0,,Retired,12/30/1963,"Miami, FL",Male,US Naval Academy; University of West Florida,Physics,Nuclear Engineering,Colonel,,4,1645,0,0.0,,,
7,3810,Kimberly Castillo,1967.0,6.0,Retired,05/28/1939,"New York, NY",Male,US Naval Academy; MIT,Chemistry,Business Administration,Captain,US Air Force,1,288,9,55.4,"STS-118 (Endeavor), ISS-23/24 (Soyuz)",02/22/1983,STS-107 (Columbia)
8,3811,Michael Chang,1989.0,12.0,Retired,08/18/1948,"Louisville, CO",Male,Stanford University; University of Houston; University of Florida,Mechanical & Aeronautical Engineering,No Major,Colonel,US Marine Corps (Retired),1,1673,8,39.5,"STS-57 (Endeavor), STS-70 (Discovery), STS-88 (Endeavor), STS-109 (Columbia)",,
9,3812,Rodney Morgan,1979.0,8.0,Retired,03/27/1949,"Cleveland, OH",Male,US Naval Academy; University of Maryland; US Naval Postgraduate School,Naval Sciences,Aeronautics & Astronautics,Colonel,,2,1277,9,57.3,"STS-39 (Discovery), STS-54 (Endeavor), STS-71 (Atlantis), STS-82 (Discovery)",,
