,Unnamed: 0,Name,Year,Group,Status,Birth Date,Birth Place,Gender,Alma Mater,Undergraduate Major,Graduate Major,Military Rank,Military Branch,Space Flights,Space Flight (hr),Space Walks,Space Walks (hr),Missions,Death Date,Death Mission
0,845,Clifford Hernandez,2002.0,19.0,Active,09/17/1969,"Jiangxi, China",Female,University of Houston; Texas Tech University,Mathematics,No Major,Colonel,,3,1169,2,7.4,STS-6 (Challenger),,
1,846,Monica Roman,1965.0,,Active,04/27/1931,"Los Angeles, CA",Male,University of Colorado,Mechanical Engineering,Aerospace Engineering; Strategic Studies,,,3,2925,9,56.7,"STS-72 (Endeavor), STS-96 (Discovery), STS-105 (Discovery)",,
2,847,Kristy Mcdonald,2003.0,19.0,Active,12/14/1958,"New York, NY",Male,Syracuse University; Stanford University; Webster University,Aeronautical Engineering,Computer Science; Aeronautical Engineering,Major General,US Navy,3,1956,5,22.5,STS-33 (Discovery),,
3,848,Amber Sanchez,1969.0,4.0,Management,08/30/1940,"Los Angeles, CA",Male,San Francisco State University,Aerospace Engineering,Engineering Management,Colonel,US Air Force (Retired),1,1813,7,39.1,"STS-67 (Endeavor), STS-81 (Atlantis), STS-103 (Discovery), STS-125 (Atlantis), STS-109 (Columbia)",,
4,849,Patricia Santos,1969.0,5.0,Deceased,08/28/1935,"Attleboro, MA",Male,Kent State University; John Carroll University,Aerospace Engineering,No Major,Colonel,,2,1588,0,0.0,"STS-129 (Atlantis), ISS-41/42 (Soyuz)",,
5,850,Elizabeth Brown,2005.0,20.0,Active,02/19/1963,"Dallas, TX",Male,University of Southern California; US Naval Postgraduate School; Princeton University,Chemical Engineering,Aeronautical Engineering,Captain,US Air Force,2,4166,6,31.3,"STS-47 (Endeavor), STS-66 (Atlantis), STS-77 (Endeavor), STS-85 (Discovery), STS-95 (Discovery), STS-103 (Discovery)",,
6,851,Danielle Vang,2005.0,20.0,Retired,01/06/1969,"Jamestown, ND",Female,Purdue University,Aerospace Engineering,Engineering; Medicine,,,1,107,4,15.7,"STS-105 (Discovery), STS-117 (Atlantis), STS-128 (Discovery)",07/14/1996,
7,852,Deanna Zimmerman,,17.0,Active,04/15/1957,"Okemah, OK",Male,Purdue University,"Aeronautics & Astronautics; Earth, Atmospheric & Planetary Sciences",No Major,Major,US Marine Corps (Retired),1,1787,8,48.9,"STS-124 (Discovery), STS-132 (Atlantis)",,
8,853,Mr. Joshua Chavez,1987.0,12.0,Management,05/02/1943,"Chicago, IL",Male,US Naval Academy,,No Major,Colonel,US Navy (Retired),6,60,1,4.6,,,
9,854,Danielle Fields,1992.0,17.0,Deceased,05/22/1957,"New Rockford, ND",Male,US Naval Academy,Applied Mathematics,Physics,,,3,1313,5,21.1,STS-50 (Columbia),,
