,Unnamed: 0,Name,Year,Group,Status,Birth Date,Birth Place,Gender,Alma Mater,Undergraduate Major,Graduate Major,Military Rank,Military Branch,Space Flights,Space Flight (hr),Space Walks,Space Walks (hr),Missions,Death Date,Death Mission
0,7340,Michael Gamble,1973.0,3.0,Retired,06/05/1945,"Boston, MA",Male,Purdue University; University of Houston-Clear Lake,Mechanical Engineering,No Major,Commander,US Navy (Retired),4,3750,8,44.0,"STS-90 (Columbia), STS-130 (Endeavor)",,
1,7341,James Choi,1991.0,15.0,Deceased,04/08/1953,"Ft. Belvoir, VA",Male,Amherst College; Rice University; Harvard University,Aeronautical Engineering,Astronautical Engineering,Colonel,US Navy,2,289,0,0.0,"STS-125 (Atlantis), STS-134 (Endeavor)",,
2,7342,Derrick Smith,1998.0,,Retired,06/15/1960,Hong Kong,Male,US Air Force Academy; Purdue University,Applied Mathematics,Aerospace Engineering,Colonel,US Air Force (Retired),2,2703,4,20.4,,,
3,7343,Samuel Hobbs,1999.0,19.0,Retired,01/13/1961,"Hackensack, NJ",Male,University of Washington,Engineering Management,Aeronautical Engineering; Aeronautics & Astronautics,Captain,US Air Force,1,1675,5,26.1,"STS-127 (Endeavor), STS-135 (Atlantis)",,
4,7344,Susan Jackson,1962.0,6.0,Active,04/25/1931,"Ottawa, KS",Male,US Naval Academy; US Naval Postgraduate School,Aeronautical Engineering,Aeronautical Engineering,,,5,2800,9,56.5,"STS-39 (Discovery), STS-54 (Endeavor), STS-71 (Atlantis), STS-82 (Discovery)",,
5,7345,Jacob Smith,2002.0,18.0,Retired,02/27/1963,"Wheeler, TX",Male,Punjab Engineering College; University of Texas-Arlington; University of Colorado,Physics,Medicine,,,2,2216,0,0.5,"ISS-09 (Soyuz), ISS-18 (Soyuz), STS-134 (Endeavor)",,
6,7346,Samantha Baldwin,1968.0,6.0,Retired,11/25/1943,"Oak Park, IL",Female,San Francisco State University,Physiology,No Major,Colonel,US Army (Retired),3,2524,9,62.2,Apollo 15,,
7,7347,Gregory Rice,1986.0,10.0,Retired,05/22/1948,"Santa Rita, NM",Male,MIT; University of Texas-Austin; George Washington University,Earth Sciences,Physics; Business Management,Colonel,,1,317,0,0.4,"Gemini 3, Gemini 10, Apollo 10, Apollo 16, STS-1 (Columbia), STS-9 (Columbia)",,
8,7348,Patricia Moody,1981.0,12.0,Retired,05/21/1953,"Kealakekua, HI",Male,Georgia Institute of Technology,Mechanical Engineering,Engineering Science; Aerospace Engineering,Captain,,4,130,3,11.1,"ISS-6 (Soyuz), STS-126 (Endeavor), ISS-30/31 (Soyuz)",,
9,7349,Kelly Pena,1982.0,6.0,Deceased,02/07/1951,"Washington, DC",Male,US Air Force Academy; Embry-Riddle Aeronautical University,Physics & Mechanical Engineering,Astronautics,Captain,US Navy (Retired),2,1182,0,0.9,"STS 41-B (Challenger), STS 61-C (Columbia), STS-27 (Atlantis), STS-47 (Endeavor), STS-71 (Atlantis)",,
10,7350,Daniel Ball,1997.0,16.0,Retired,09/11/1965,"Machester, CT",Female,US Naval Academy; Stanford University; University of Houston-Clear Lake,Aeronautical Engineering,Engineering Science,,,0,2113,0,0.0,"STS 51-G (Discovery), STS-34 (Atlantis), STS-43 (Atlantis), STS-58 (Columbia), STS-76/79 (Atlantis)",,
11,7351,Melissa Gibbs,1988.0,10.0,Deceased,06/18/1952,"Belleville, IL",Male,Cornell University; US Naval Postgraduate School,Aeronautical Engineering,Physics; Astrogeophysics,,US Navy (Retired),1,578,0,0.0,"STS-54 (Endeavor), STS-64 (Discovery), STS-78 (Columbia), STS-101 (Atlantis), STS-102/105 (Discovery)",,
12,7352,Amy Adams,1985.0,13.0,Retired,07/05/1955,"Indianapolis, IN",Male,Framingham State College; Bowie State College,,Applied Science,,,6,468,0,0.2,,,
13,7353,Christopher Rogers,1994.0,9.0,Retired,10/14/1961,"Ft. Belvoir, VA",Male,US Air Force Academy; Troy State University,Mechanical Engineering,Business Management; Space Operations,,,2,4485,10,66.6,"STS-7 (Challenger), STS 41-G (Challenger)",,
14,7354,Jessica Parsons,1982.0,,Active,09/27/1944,"Biloxi, MS",Male,University of Michigan; US Naval Postgraduate School,Engineering,Mechanical Engineering,,,2,1965,4,13.8,"Mercury 4, Gemini 3, Apollo 1",,
15,7355,Steven Jefferson,1970.0,10.0,Retired,09/24/1939,"Columbus, OH",Male,US Air Force Academy; Golden Gate University; US Naval War College,Mechanical Engineering,Astronautics,Captain,US Air Force,2,44,0,0.0,"STS-106 (Atlantis), STS-115 (Atlantis), ISS-29/30 (Soyuz)",,
16,7356,Destiny Neal,2008.0,20.0,Active,08/14/1974,"Austin, TX",Male,University of Notre Dame,Computer Science,No Major,,US Marine Corps (Retired),0,2990,9,58.9,"STS-7 (Challenger), STS 51-G (Discovery)",,
17,7357,Nancy Macdonald,1997.0,18.0,Retired,04/23/1960,"Lynchburg, VA",Female,US Naval Academy; US Naval Postgraduate School,Physics & Astronautical Engineering,Astronomy,,,2,3433,3,12.6,"Gemini 6, Gemini 9, Apollo 10, Apollo-Soyuz Test Project",,
18,7358,April Ortiz,1970.0,3.0,Retired,12/25/1938,"Weatherford, OK",Female,College of the Holy Cross; Northwestern University,Aerospace Engineering,No Major,Captain,US Air Force (Retired),1,438,6,32.4,STS 51-B (Challenger),,
19,7359,Brittany Warner,,7.0,Deceased,01/28/1947,"Brooklyn, NY",Male,Purdue University; Air Force Institute of Technology,Engineering,Astronomy,Colonel,US Air Force (Retired),2,1017,0,0.7,"STS-121 (Discovery), STS-124 (Discovery), ISS-28/29 (Soyuz)",,
20,7360,Jackson Smith,1970.0,11.0,Retired,12/16/1942,"Wheeler, TX",Male,US Naval Academy; MIT,Physics & Mathematics,Aerospace Engineering,,US Navy (Retired),2,243,0,0.2,STS-90 (Columbia),,
21,7361,Danielle Brown,1980.0,10.0,Retired,04/05/1948,"Lynchburg, VA",Male,US Naval Academy,Physics,Aerospace Engineering; Strategic Studies,,,1,4201,7,36.0,"STS-85 (Discovery), STS-98 (Atlantis), STS-116 (Discovery)",,
22,7362,Madison Ward,,16.0,Retired,11/08/1958,"Faison, NC",Male,Stanford University; University of Houston; University of Florida,Physics; English,Physics,Brigadier General,US Navy,1,2811,7,39.0,"STS-55 (Columbia), STS-71 (Atlantis), STS-84 (Atlantis), STS-91 (Discovery)",,
23,7363,Antonio Clements,1962.0,3.0,Retired,01/08/1935,"Vancouver, WA",Male,University of Illinois-Urbana,Mathematics & Physics,Aeronautical Engineering,Rear Admiral,US Navy,1,755,3,9.0,,,
24,7364,Angela Buck,2001.0,,Deceased,08/26/1964,"Binghamton, NY",Male,Cornell University; US Naval Postgraduate School,Solid Earth Sciences,Aviation Systems,,US Navy (Retired),2,750,9,60.6,"Mercury 3, Apollo 14",,
25,7365,Elizabeth Salazar,1971.0,6.0,Management,01/13/1942,"San Diego, CA",Male,University of California-Berkeley; University of Houston,Aeronautical Engineering,No Major,,,2,108,6,34.0,"STS-7 (Challenger), STS 51-B (Challenger), STS-30 (Atlantis), STS-42 (Discovery), STS-71 (Soyuz/Atlantis)",,
26,7366,Timothy Reyes DDS,1993.0,16.0,Deceased,04/01/1958,"New York, NY",Male,US Naval Academy,Aerospace Engineering,No Major,Colonel,,3,840,0,0.1,,,
27,7367,Rodney Rose,1986.0,,Retired,09/20/1945,"Murfreesboro, TN",Male,University of Texas-Dallas,Aeronautical Engineering,Electrical Engineering; Business Administration,,US Air Force (Retired),6,347,0,0.6,"STS-51 (Discovery), STS-69 (Endeavor), STS-88 (Endeavor), STS- 109 (Columbia)",05/19/1994,
28,7368,Erica Mcdowell,1995.0,15.0,Retired,06/05/1954,"Los Angeles, CA",Male,US Military Academy; MIT,Applied Mathematics,Aerospace Engineering,Captain,US Navy (Retired),5,127,2,7.0,"Gemini 12, Apollo 11",,
29,7369,Lisa Nguyen,2005.0,,Retired,07/20/1971,"Chicago, IL",Female,Tulane University,Engineering,Aeronautics,Captain,US Navy (Retired),4,2996,0,0.5,"STS-106 (Atlantis), STS-115 (Atlantis), ISS-29/30 (Soyuz)",,
30,7370,Keith Sawyer,1979.0,6.0,Deceased,08/13/1951,"Arlington, VA",Male,University of Washington; University of Houston,Biology,Mechanical Engineering,,,0,2586,8,49.7,STS-114 (Discovery),,
31,7371,Natasha Pena,1993.0,16.0,Retired,05/14/1956,"Dayton, OH",Male,University of California-Los Angeles,Electrical Engineering,No Major,,,1,1192,0,0.1,"STS-49 (Endeavor), STS-59 (Endeavor), STS-76 (Atlantis)",,
